y,u_kraken
0.455078125,-0.09328514901
0.458984375,-0.08993998372
0.462890625,-0.08659132763
0.466796875,-0.0832388318
0.470703125,-0.07988218456
0.474609375,-0.07652110924
0.478515625,-0.07315536188
0.482421875,-0.06978472906
0.486328125,-0.06640902594
0.490234375,-0.0630280945
0.494140625,-0.05964179902
0.498046875,-0.0562500218
0.501953125,-0.05285264852
0.505859375,-0.04944956398
0.509765625,-0.04604064884
0.513671875,-0.04262577955
0.517578125,-0.03920482875
0.521484375,-0.03577766607
0.525390625,-0.03234415858
0.529296875,-0.02890417084
0.533203125,-0.02545756375
0.537109375,-0.02200419243
0.541015625,-0.01854390206
0.544921875,-0.01507652376
0.548828125,-0.01160187569
0.552734375,-0.008119761681
0.556640625,-0.004629998156
0.560546875,-0.001132377642
0.564453125,0.002373143883
0.568359375,0.00588630155
0.572265625,0.009407426851
0.576171875,0.01293684553
0.580078125,0.01647493687
0.583984375,0.02002210741
0.587890625,0.02357879123
0.591796875,0.02714544539
0.595703125,0.03072254698
0.599609375,0.03431059073
0.603515625,0.03791008697
0.607421875,0.04152156035
0.611328125,0.04514554883
0.615234375,0.04878260304
0.619140625,0.05243328493
0.623046875,0.05609816603
0.626953125,0.05977782527
0.630859375,0.0634728465
0.634765625,0.06718381596
0.638671875,0.0709113196
0.642578125,0.07465594046
0.646484375,0.07841825587
0.650390625,0.0821988341
0.654296875,0.08599823076
0.658203125,0.08981698465
0.662109375,0.09365561342
0.666015625,0.09751460902
0.669921875,0.1013944329
0.673828125,0.1052955111
0.677734375,0.109218229
0.681640625,0.1131629259
0.685546875,0.1171298892
0.689453125,0.1211193481
0.693359375,0.125131468
0.697265625,0.1291663438
0.701171875,0.133223994
0.705078125,0.1373043539
0.708984375,0.1414072696
0.712890625,0.1455324912
0.716796875,0.1496796665
0.720703125,0.153848335
0.724609375,0.1580379216
0.728515625,0.1622477307
0.732421875,0.1664769407
0.736328125,0.1707245987
0.740234375,0.1749896152
0.744140625,0.1792707601
0.748046875,0.1835666579
0.751953125,0.1878757848
0.755859375,0.1921964651
0.759765625,0.196526869
0.763671875,0.2008650106
0.767578125,0.2052087467
0.771484375,0.2095557761
0.775390625,0.2139036402
0.779296875,0.2182497231
0.783203125,0.2225912537
0.787109375,0.2269253079
0.791015625,0.2312488113
0.794921875,0.2355585433
0.798828125,0.2398511412
0.802734375,0.2441231058
0.806640625,0.2483708073
0.810546875,0.2525904924
0.814453125,0.2567782922
0.818359375,0.2609302317
0.822265625,0.2650422405
0.826171875,0.2691101663
0.830078125,0.2731297909
0.833984375,0.2770968505
0.837890625,0.2810070618
0.841796875,0.2848561562
0.845703125,0.2886399258
0.849609375,0.2923542846
0.853515625,0.2959953527
0.857421875,0.2995595702
0.861328125,0.3030438523
0.865234375,0.3064457996
0.869140625,0.3097639816
0.873046875,0.3129983166
0.876953125,0.3161505752
0.880859375,0.3192250417
0.884765625,0.322229374
0.888671875,0.3251757063
0.892578125,0.3280820459
0.896484375,0.3309740161
0.900390625,0.3338869982
0.904296875,0.3368687158
0.908203125,0.3399822959
0.912109375,0.3433098151
0.916015625,0.346956305
0.919921875,0.3510541434
0.923828125,0.3557676909
0.927734375,0.3612979486
0.931640625,0.3678869085
0.935546875,0.375821141
0.939453125,0.385434018
0.943359375,0.3971058064
0.947265625,0.41126069
0.951171875,0.4283596086
0.955078125,0.4488876677
0.958984375,0.473334813
0.962890625,0.5021685639
0.966796875,0.5357979587
0.970703125,0.5745286257
0.974609375,0.6185102155
0.978515625,0.6676794508
0.982421875,0.7217048422
0.986328125,0.7799424614
0.990234375,0.8414159787
0.994140625,0.9048357662
0.998046875,0.9686781623
1,1
