x,y,C
79,6,1.2755638030842603e-8
80,6,1.2255436009083826e-8
81,6,1.1754703620427907e-8
82,6,1.102176993285509e-8
83,6,9.797897628807908e-9
84,6,8.208618122820133e-9
85,6,6.3078980695030146e-9
86,6,4.286628539481004e-9
87,6,2.3455820366713033e-9
88,6,7.320610003055489e-10
89,6,1.120183776639428e-10
90,6,1.675448671973825e-11
91,6,2.5203331165465185e-12
92,6,4.2217835595429746e-13
93,6,8.131462010490632e-14
94,6,1.607391772212689e-14
95,6,2.899184000077672e-15
96,6,4.666458190633051e-16
97,6,7.961914388290093e-17
98,6,2.1286709414431222e-17
99,6,9.487778397094411e-18
100,6,4.817228710874266e-18
1,7,1.8432839420879064e-17
2,7,7.313497863817645e-17
3,7,4.4404640868845735e-16
4,7,2.5089043376591363e-15
5,7,1.2824815690677581e-14
6,7,8.362799242163052e-14
7,7,6.020889231735043e-13
8,7,3.737658533797078e-12
9,7,1.999712419273116e-11
10,7,1.1642182199356648e-10
11,7,4.4660841037046227e-10
12,7,9.396901113988085e-10
13,7,1.3606256346652964e-9
14,7,1.644643136380741e-9
15,7,1.9482284214051855e-9
16,7,2.6931876328144397e-9
17,7,5.672920952911108e-9
18,7,1.4099359601934537e-8
19,7,2.4319258582506924e-8
20,7,3.174724175365237e-8
21,7,3.336720757013192e-8
22,7,3.381744920529427e-8
23,7,3.341263611926123e-8
24,7,2.9977333947531244e-8
25,7,2.1272116004629833e-8
26,7,1.1147957865008218e-8
27,7,3.80637931701655e-9
28,7,1.2576920382331722e-9
29,7,4.259618802355659e-10
30,7,1.5168114746042376e-10
31,7,5.6795554330268965e-11
32,7,2.198468997285113e-11
33,7,8.663669199919977e-12
34,7,3.6374169131081182e-12
35,7,2.1193371275602323e-12
36,7,1.9565831393456915e-12
37,7,2.467698348447754e-12
38,7,6.811775534975737e-12
39,7,3.967645262132433e-11
40,7,1.0840201422225785e-10
41,7,2.1822909653410468e-10
42,7,3.7419616698422233e-10
43,7,5.690133952905006e-10
44,7,7.963236298401534e-10
45,7,1.0526478434402466e-9
46,7,1.3370541305761555e-9
47,7,1.7288882355564172e-9
48,7,2.314397981323691e-9
49,7,3.0453292707042e-9
50,7,3.700427417571984e-9
51,7,3.9938519959126905e-9
52,7,3.64990512455425e-9
53,7,3.0868296191185863e-9
54,7,2.4037042285093886e-9
55,7,1.7883606142136523e-9
56,7,1.246599927000796e-9
57,7,9.78395644892499e-10
58,7,6.778362528434914e-10
59,7,4.789994116305351e-10
60,7,3.3634499500557356e-10
61,7,2.5319471107080704e-10
62,7,2.3070977414638368e-10
63,7,2.5697842477287336e-10
64,7,3.512581338768757e-10
65,7,6.594214646649327e-10
66,7,1.4122319141928567e-9
67,7,3.0838277387551064e-9
68,7,6.268611658793309e-9
69,7,1.12416724229509e-8
70,7,1.7831034518622385e-8
71,7,2.4599124127833703e-8
72,7,3.06354328113366e-8
73,7,3.624282852128283e-8
74,7,4.1621119480413736e-8
75,7,4.489091019650037e-8
76,7,4.1018534331040654e-8
77,7,3.175680706596063e-8
78,7,2.1683466663320527e-8
79,7,1.5371485036519738e-8
80,7,1.3216037365559188e-8
81,7,1.2351456447829491e-8
82,7,1.164995697357604e-8
83,7,1.0896267065285107e-8
84,7,9.821519163177679e-9
85,7,8.357887250800013e-9
86,7,6.553887026187863e-9
87,7,4.592965376151464e-9
88,7,2.6691985878977126e-9
89,7,9.745867351408127e-10
90,7,1.4361166828501138e-10
91,7,2.0364437877408354e-11
92,7,2.893038342812707e-12
93,7,4.60075355306488e-13
94,7,8.525654044359683e-14
95,7,1.6232857693724224e-14
96,7,2.794871528149932e-15
97,7,4.3206257420171427e-16
98,7,7.297005130290616e-17
99,7,1.9786383443618456e-17
100,7,8.572747621392404e-18
1,8,6.106061152063753e-17
2,8,3.8517266642409605e-16
3,8,2.3714740630396754e-15
4,8,1.212843443848174e-14
5,8,7.463625893833498e-14
6,8,5.486558595081053e-13
7,8,3.606556536259716e-12
8,8,2.0495633644359176e-11
9,8,1.2551864095167115e-10
10,8,4.982796709143216e-10
11,8,1.0315748043215223e-9
12,8,1.4924278118754055e-9
13,8,1.809022262338655e-9
14,8,2.166103913716429e-9
15,8,3.0716875825365065e-9
16,8,6.999920710349614e-9
17,8,1.6435503201673508e-8
18,8,2.64016588699168e-8
19,8,3.209020244454624e-8
20,8,3.304413494756908e-8
21,8,3.3285405348657095e-8
22,8,3.189729892326378e-8
23,8,2.5391673925739684e-8
24,8,1.483535656829126e-8
25,8,5.69628943709447e-9
26,8,1.6370992184545693e-9
27,8,4.832540565579457e-10
28,8,1.4781432443433855e-10
29,8,4.756625608254428e-11
30,8,1.622321739433608e-11
31,8,5.854322726538058e-12
32,8,2.2074690821162905e-12
33,8,8.591114873346008e-13
34,8,3.813985613840827e-13
35,8,2.647458193342952e-13
36,8,2.6809272394826215e-13
37,8,4.012327070989869e-13
38,8,1.5610780327463466e-12
39,8,7.51420274595222e-12
40,8,1.800390693410479e-11
41,8,3.4522569508969094e-11
42,8,5.730070386919597e-11
43,8,8.57172873483701e-11
44,8,1.192884414449408e-10
45,8,1.5638696283496366e-10
46,8,1.967827216694498e-10
47,8,2.5336110573777847e-10
48,8,3.378256417557327e-10
49,8,4.440501478517093e-10
50,8,4.997640219957925e-10
51,8,5.059608707815219e-10
52,8,4.279055229514691e-10
53,8,3.3801348460017084e-10
54,8,2.6440104430998986e-10
55,8,1.9823356322384859e-10
56,8,1.3761713350188559e-10
57,8,1.0680259468675558e-10
58,8,7.28083201366137e-11
59,8,5.091626588393029e-11
60,8,3.4989652449260925e-11
61,8,2.649012481026088e-11
62,8,2.5248555828962382e-11
63,8,2.8351177633084322e-11
64,8,3.9530771480350144e-11
65,8,6.836354663983115e-11
66,8,1.5381870973390766e-10
67,8,4.011951689449883e-10
68,8,1.1809943753306311e-9
69,8,3.419104498101882e-9
70,8,8.023002958152497e-9
71,8,1.5314730877726432e-8
72,8,2.487613072661065e-8
73,8,3.4299696454445185e-8
74,8,4.168844031951675e-8
75,8,4.756954064549452e-8
76,8,5.213166903107102e-8
77,8,5.269410079851298e-8
78,8,4.564782656529391e-8
79,8,3.223102476535495e-8
80,8,2.0284537833532957e-8
81,8,1.451744860295598e-8
82,8,1.260318883377017e-8
83,8,1.1570874546850656e-8
84,8,1.0679184863381155e-8
85,8,9.73762461050255e-9
86,8,8.365567593990822e-9
87,8,6.646425346366313e-9
88,8,4.749185423599363e-9
89,8,2.859877728779687e-9
90,8,1.1398833303589829e-9
91,8,1.6422601653378455e-10
92,8,2.229785142635207e-11
93,8,3.0195292322317543e-12
94,8,4.602694301756744e-13
95,8,8.325692397277616e-14
96,8,1.543463678140575e-14
97,8,2.5545393071946852e-15
98,8,3.8055715943838205e-16
99,8,6.414019183711649e-17
100,8,1.7331764253995984e-17
1,9,3.0531904892552305e-16
2,9,2.0633315778930472e-15
3,9,1.0985449684115966e-14
4,9,6.314522551120376e-14
5,9,4.659861103155366e-13
6,9,3.242767689830064e-12
7,9,1.9579694621076064e-11
8,9,1.25450487343285e-10
9,9,5.312789847203865e-10
10,9,1.1030907365228187e-9
11,9,1.605888839087812e-9
12,9,1.956249483935732e-9
13,9,2.362695634796062e-9
14,9,3.4115610060845926e-9
15,9,8.053102517245745e-9
16,9,1.7887615041233333e-8
17,9,2.7614716365308854e-8
18,9,3.202657074575896e-8
19,9,3.268290000290502e-8
20,9,3.2598922237751456e-8
21,9,2.9758228613215343e-8
22,9,2.0564198533615747e-8
23,9,9.758012874923493e-9
24,9,2.6829880560079123e-9
25,9,7.124892469945617e-10
26,9,1.9419698350247865e-10
27,9,5.47762091180409e-11
28,9,1.6097194414796795e-11
29,9,4.9905289578423034e-12
30,9,1.6505664435803097e-12
31,9,5.850911784699739e-13
32,9,2.19851249560929e-13
33,9,8.724431416064113e-14
34,9,4.3172956249811327e-14
35,9,3.503741017811744e-14
36,9,3.785226395618751e-14
37,9,6.804242520263057e-14
38,9,3.237097093000074e-13
39,9,1.2116685891010762e-12
40,9,2.6886755432416255e-12
41,9,4.921466012497806e-12
42,9,7.86529054989948e-12
43,9,1.1409906631520307e-11
44,9,1.5484007140485616e-11
45,9,1.988386841933415e-11
46,9,2.463057022858909e-11
47,9,3.1331267494082985e-11
48,9,4.0780955360216376e-11
49,9,5.146649917685698e-11
50,9,5.60072591203183e-11
51,9,5.008805748234312e-11
52,9,4.1020438704109914e-11
53,9,3.170182846335795e-11
54,9,2.653001646884642e-11
55,9,1.9275622159223657e-11
56,9,1.357511709998389e-11
57,9,1.0753226214354692e-11
58,9,7.473929167552733e-12
59,9,5.424985469217826e-12
60,9,3.8063977682041385e-12
61,9,3.038843840164689e-12
62,9,3.015101388996669e-12
63,9,3.4605942104759047e-12
64,9,4.841585990575479e-12
65,9,8.344464071133927e-12
66,9,1.7605428585658335e-11
67,9,4.501589644083833e-11
68,9,1.2578541676526914e-10
69,9,3.756862460632467e-10
70,9,1.170921323129699e-9
71,9,3.934207731317049e-9
72,9,1.0442600935895724e-8
73,9,2.1017933915725657e-8
74,9,3.3985512124256286e-8
75,9,4.531302205793454e-8
76,9,5.249115123638274e-8
77,9,5.749013233082339e-8
