x,y,T
38,3,0.9344779999853806
39,3,0.927130122665408
40,3,0.9193937244460816
41,3,0.9114113331270539
42,3,0.9032867284301193
43,3,0.8950904454666184
44,3,0.886867996353738
45,3,0.8786486056659863
46,3,0.8704529908324805
47,3,0.8622994762754759
48,3,0.854208312753697
49,3,0.8462044176030523
50,3,0.8383188863750151
51,3,0.830589621151025
52,3,0.8230613460829489
53,3,0.8157851885684824
54,3,0.8088179248135154
55,3,0.8022209336893317
56,3,0.7960588743362561
57,3,0.7903980973031368
58,3,0.7853048107206353
59,3,0.7808430462758531
60,3,0.7770724987411288
61,3,0.7740463416362134
62,3,0.7718091445131919
63,3,0.7703950291943327
64,3,0.769826199291251
65,3,0.7701119579287095
66,3,0.7712482940140499
67,3,0.773218071681437
68,3,0.7759918069380379
69,3,0.7795289672773936
70,3,0.7837796908549035
71,3,0.788686796673674
72,3,0.7941879483590897
73,3,0.8002178408753041
74,3,0.8067102988326337
75,3,0.8136002019892317
76,3,0.8208251823584394
77,3,0.8283270618185727
78,3,0.8360530129830537
79,3,0.8439564229714972
80,3,0.8519974135817489
81,3,0.8601429178764088
82,3,0.8683661331037285
83,3,0.8766450747112207
84,3,0.8849598755881944
85,3,0.8932884616847673
86,3,0.9016003634985598
87,3,0.9098487676449682
88,3,0.9179615097259747
89,3,0.9258325001121213
90,3,0.9333158577543917
91,3,0.9402254644970336
92,3,0.9463423552426401
93,3,0.9514310709879016
94,3,0.9552639069823857
95,3,0.9576494302223306
96,3,0.9584596211270456
97,3,0.9576494302240232
98,3,0.9552639069856769
99,3,0.951431070992619
100,3,0.9463423552485588
101,3,0.9402254645039052
102,3,0.9333158577619727
103,3,0.9258325001201961
104,3,0.9179615097343687
105,3,0.9098487676535494
106,3,0.9016003635072357
107,3,0.8932884616934756
108,3,0.8849598755968971
109,3,0.8766450747198916
110,3,0.8683661331123455
111,3,0.8601429178849521
112,3,0.8519974135901929
113,3,0.8439564229798115
114,3,0.836053012991201
115,3,0.8283270618265087
116,3,0.8208251823661125
117,3,0.813600201996584
118,3,0.8067102988396042
119,3,0.8002178408818269
120,3,0.7941879483650975
121,3,0.7886867966790996
122,3,0.7837796908596806
123,3,0.7795289672814609
124,3,0.775991806941341
125,3,0.7732180716839299
126,3,0.7712482940156973
127,3,0.7701119579294883
128,3,0.7698261992911516
1,4,0.6642506759876949
2,4,0.6662597490542161
3,4,0.6694386337499602
4,4,0.6737400601751703
5,4,0.6791024032135259
6,4,0.6854523039908345
7,4,0.6927075998698621
8,4,0.7007803588686026
9,4,0.7095798388110797
10,4,0.7190152320423392
11,4,0.7289981040755352
12,4,0.7394444798258335
13,4,0.7502765655068517
14,4,0.7614241098681792
15,4,0.7728253975229409
16,4,0.7844278221180603
17,4,0.7961879022118641
18,4,0.8080704783506568
19,4,0.8200466810395173
20,4,0.8320901271825599
21,4,0.8441707639574179
22,4,0.8562459449648476
23,4,0.8682488131161594
24,4,0.8800749459628312
25,4,0.8915694213725374
26,4,0.9025176955160505
27,4,0.9126444343252229
28,4,0.9216240872641384
29,4,0.9291051017291039
30,4,0.9347463332179358
31,4,0.9382602268156074
32,4,0.9394541413572891
33,4,0.938260226817997
34,4,0.9347463332225787
35,4,0.929105101735754
36,4,0.9216240872724734
37,4,0.9126444343348891
38,4,0.9025176955267031
39,4,0.8915694213838725
40,4,0.8800749459746031
41,4,0.8682488131281842
42,4,0.8562459449769971
43,4,0.8441707639696086
44,4,0.832090127194739
45,4,0.8200466810516498
46,4,0.8080704783627157
47,4,0.7961879022238221
48,4,0.7844278221298849
49,4,0.7728253975345917
50,4,0.7614241098796072
51,4,0.7502765655179997
52,4,0.7394444798366318
53,4,0.7289981040859072
54,4,0.7190152320522023
55,4,0.7095798388203445
56,4,0.7007803588771758
57,4,0.69270759987765
58,4,0.6854523039977436
59,4,0.6791024032194671
60,4,0.6737400601800634
61,4,0.6694386337537341
62,4,0.6662597490568128
63,4,0.6642506759890734
64,4,0.6634422213884094
65,4,0.663847313592638
66,4,0.6654604058754328
67,4,0.6682577534142793
68,4,0.6721985380121596
69,4,0.6772267385560748
70,4,0.6832735850161266
71,4,0.6902603979313103
72,4,0.6981016068976471
73,4,0.7067077583835121
74,4,0.7159883588655492
75,4,0.7258544449754132
76,4,0.7362208184648013
77,4,0.7470079210034775
78,4,0.7581433433156913
79,4,0.7695629563619911
80,4,0.7812116107928462
81,4,0.7930432679554927
82,4,0.8050203005879683
83,4,0.8171115478423374
84,4,0.8292885678755004
85,4,0.8415194798452352
86,4,0.8537599411161243
87,4,0.865941292687552
88,4,0.8779568056181822
89,4,0.8896482118815975
90,4,0.9007960133453137
91,4,0.9111178940141951
92,4,0.92027925521614
93,4,0.9279179675923328
94,4,0.9336819492660847
95,4,0.9372739794903605
96,4,0.9384947361976202
97,4,0.9372739794929109
98,4,0.9336819492710389
99,4,0.9279179675994228
100,4,0.9202792552250164
101,4,0.9111178940244746
102,4,0.9007960133566235
103,4,0.8896482118936102
