x_R,L2_diff_tau_xx,max_diff_tau_xx,L2_diff_ux,max_diff_ux
4.41961,0.610044,4.58651,0.0308053,0.0592532
4.46275,0.575669,4.47145,0.0307682,0.0590314
4.50588,0.570491,4.33181,0.0306555,0.0587181
4.54902,0.563163,4.20099,0.0305642,0.0583651
4.59216,0.550556,4.08358,0.0305054,0.058043
4.63529,0.536517,3.98042,0.0304622,0.0578065
4.67843,0.52079,3.88672,0.0304381,0.057668
4.72157,0.500325,3.79567,0.030421,0.0576261
4.76471,0.47696,3.70534,0.0303662,0.0574934
4.80784,0.477912,3.59297,0.0302945,0.0572827
4.85098,0.468134,3.48426,0.0302358,0.057001
4.89412,0.456625,3.38211,0.0302001,0.056695
4.93725,0.44442,3.29174,0.0301763,0.0564202
4.98039,0.431247,3.21096,0.0301702,0.0562193
5.02353,0.413424,3.13664,0.0301739,0.056103
5.06667,0.397507,3.07004,0.0301341,0.056077
5.1098,0.396312,2.99843,0.0300958,0.0559833
5.15294,0.386974,2.93721,0.0300767,0.0558232
5.19608,0.350719,2.39009,0.0299724,0.0555993
5.23922,0.344596,2.37062,0.0299416,0.0553417
5.28235,0.333618,2.30433,0.0299224,0.0550933
5.32549,0.323233,2.22324,0.0299143,0.0548935
5.36863,0.320297,2.42031,0.0299048,0.0547639
5.41176,0.305993,2.10121,0.0298354,0.054696
5.4549,0.300774,2.12134,0.0297905,0.0546912
5.49804,0.295367,2.08443,0.0297576,0.0545969
5.54118,0.284477,2.02946,0.029741,0.0544522
5.58431,0.281159,1.96273,0.0297299,0.0542605
5.62745,0.270449,1.88436,0.0297287,0.0540475
5.67059,0.260563,1.77298,0.0297368,0.0538453
5.71373,0.258243,1.94669,0.029727,0.0536828
5.75686,0.246039,1.68426,0.0296662,0.0535766
5.8,0.241368,1.67993,0.0296325,0.0535218
5.84314,0.237015,1.65109,0.0296051,0.0535246
5.88627,0.229498,1.61344,0.0295871,0.0534644
5.92941,0.226803,1.56789,0.0295757,0.0533619
5.97255,0.218583,1.51287,0.0295703,0.053219
6.01569,0.210613,1.43902,0.0295745,0.0530512
6.05882,0.206378,1.49596,0.0295842,0.052881
6.10196,0.197528,1.31941,0.0295371,0.0527317
6.1451,0.191122,1.27903,0.0295122,0.0526209
6.18824,0.172622,1.22724,0.029488,0.0525824
6.23137,0.169526,1.22712,0.0294771,0.0525607
6.27451,0.169049,1.24962,0.0294716,0.0525338
6.31765,0.161913,1.17888,0.0294705,0.0524832
6.36078,0.156016,1.11387,0.0294716,0.0524004
6.40392,0.151864,1.0722,0.0294792,0.052288
6.44706,0.160718,1.20665,0.0294864,0.0521573
6.4902,0.14415,1.01427,0.0294363,0.0520242
6.53333,0.139408,0.965975,0.0294111,0.0519054
6.57647,0.13635,0.955144,0.0293999,0.0518142
6.61961,0.133699,0.951641,0.029393,0.0517572
6.66275,0.135201,0.978574,0.02939,0.0517298
6.70588,0.128428,0.926033,0.0293864,0.0517419
6.74902,0.123881,0.876688,0.0293881,0.0517178
6.79216,0.120285,0.835502,0.0293953,0.0516673
6.83529,0.119485,0.848457,0.0294073,0.0515932
6.87843,0.116949,0.829315,0.0293778,0.0515003
6.92157,0.110995,0.752265,0.029349,0.0513984
6.96471,0.108207,0.734967,0.0293349,0.0512987
7.00784,0.105961,0.726973,0.0293313,0.0512123
7.05098,0.103946,0.722074,0.0293322,0.0511483
7.09412,0.103303,0.734715,0.0293344,0.0511098
7.13725,0.0996159,0.697763,0.0293356,0.0510926
7.18039,0.0966625,0.663121,0.0293184,0.050712
7.22353,0.0940331,0.633743,0.0293275,0.0506401
7.26667,0.0932035,0.638381,0.0293414,0.0505927
7.3098,0.0914066,0.625659,0.0293165,0.0505479
7.35294,0.0872612,0.566066,0.0292921,0.0504937
7.39608,0.0852468,0.554064,0.0292808,0.0504262
7.43922,0.0833055,0.544651,0.0292778,0.0503533
7.48235,0.0817497,0.537444,0.0292829,0.0503156
7.52549,0.0818906,0.556283,0.0292882,0.0504915
7.56863,0.0790919,0.530851,0.0292818,0.0508068
7.61176,0.0769238,0.50676,0.0292796,0.0504801
7.6549,0.074989,0.484369,0.0292839,0.0503059
7.69804,0.0734919,0.46701,0.0292935,0.050225
7.74118,0.0747594,0.497297,0.029306,0.0501746
7.78431,0.0704964,0.439581,0.0292712,0.0501376
7.82745,0.0688579,0.41872,0.0292556,0.0501013
7.87059,0.06736,0.406797,0.0292483,0.0500583
7.91373,0.0659456,0.397612,0.0292461,0.0500069
7.95686,0.0647571,0.389565,0.0292502,0.0499529
8,0.0644548,0.402661,0.0292591,0.0499244
