x_R,L2_diff_tau_xx,max_diff_tau_xx,L2_diff_ux,max_diff_ux
6.92157,0.106306,0.598608,0.0290953,0.0518909
6.96471,0.103909,0.578264,0.0290858,0.0517755
7.00784,0.102148,0.588999,0.0290845,0.0516739
7.05098,0.101148,0.60869,0.029084,0.0515949
7.09412,0.102046,0.664836,0.0290821,0.0515419
7.13725,0.0974762,0.601586,0.0290803,0.0515106
7.18039,0.0934047,0.543148,0.0290555,0.0511162
7.22353,0.0901776,0.503389,0.0290535,0.0510308
7.26667,0.0899455,0.553978,0.0290508,0.0509704
7.3098,0.0890513,0.560808,0.0290353,0.0509129
7.35294,0.0833593,0.436701,0.0290243,0.0508463
7.39608,0.0815751,0.418059,0.0290185,0.0507667
7.43922,0.0803829,0.422233,0.0290186,0.0506821
7.48235,0.0790404,0.43302,0.0290244,0.050633
7.52549,0.0816582,0.516781,0.0290298,0.0507978
7.56863,0.0775943,0.454367,0.029025,0.0511024
7.61176,0.0745653,0.411328,0.0290208,0.0507652
7.6549,0.0721367,0.373795,0.0290211,0.0505808
7.69804,0.070176,0.358253,0.0290239,0.0504899
7.74118,0.0727271,0.456084,0.0290268,0.0504299
7.78431,0.0675681,0.347647,0.0290082,0.0503836
7.82745,0.0655242,0.311011,0.0290001,0.0503381
7.87059,0.0645247,0.302345,0.0289967,0.0502864
7.91373,0.0636633,0.294643,0.0289968,0.0502263
7.95686,0.0625935,0.300163,0.029002,0.050164
8,0.063708,0.356188,0.0290111,0.0501274
