wi,n,beta,max_u,max_p,max_tauxx,max_tauxy,max_tauyy,max_psixx,max_N1,avg_u,avg_p,avg_tauxx,avg_tauxy,avg_tauyy,avg_psixx,avg_N1,min_det_C,first_nonfinite_step,R2_psi_xx_stag_vs_analytic,R2_centerline_u,R2_centerline_p,R2_centerline_tauxx,R2_centerline_tauxy,convergence_p,status
0.5,128,0.8,1,0.09978963099,1.896107533,0.07501569883,1.896107533,1.747506044,2.095167242,0.6774674411,0.02727512758,0.1997665715,0.03098670443,0.1997665715,0.3716541409,0.3984494061,1,-1,NaN,NaN,NaN,NaN,NaN,-0.2799072724,FAIL
0.5,32,0.9,1,0.04779752767,0.7286745691,0.03326708899,0.7286745691,1.535441008,0.827171263,0.6771225633,0.01354504366,0.09117355838,0.01333949235,0.09117355838,0.3531997622,0.1818226442,1,-1,NaN,1,-25.60772513,0.9122698036,0.9728878592,0.08746607062,FAIL
0.5,64,0.9,1,0.06423900694,0.8699338045,0.03600158795,0.8699338045,1.677034694,0.9692004377,0.6774290696,0.01903102028,0.09700625776,0.01488413221,0.09700625776,0.3659574604,0.19351131,1,-1,NaN,1,-3.166704535,0.9912366981,0.9977409275,0.08746607062,FAIL
0.5,96,0.9,1,0.127841139,0.9225604413,0.03704275919,0.9225604413,1.725050097,1.022042186,0.6774599274,0.04379818786,0.09893100564,0.01530137193,0.09893100564,0.3698391508,0.1973190612,1,-1,NaN,0.9999999522,0.3739997812,0.9991557808,0.9998163081,0.08746607062,FAIL
0.5,128,0.9,1,0.09138024213,0.9480537665,0.03750784942,0.9480537665,1.747506044,1.047583621,0.6774674411,0.02943782629,0.09988328574,0.01549335222,0.09988328574,0.3716541409,0.199224703,1,-1,NaN,NaN,NaN,NaN,NaN,0.08746607062,FAIL
1,32,0.59,1,0.2121481147,7.58978341,0.2391483703,7.58978341,2.971012587,7.854809929,0.6771225633,0.03836920496,0.5468628515,0.08031979505,0.5468628515,0.6112486454,1.077802814,1,-1,NaN,1,-5.253564382,-5.142291499,0.9881108642,1.030490396,FAIL
1,64,0.59,1,0.3750136502,15.14464209,0.2774634325,15.14464209,3.63595724,15.41496509,0.6774290696,0.056225027,0.6770197396,0.09757865245,0.6770197396,0.6446483404,1.333046353,1,-1,NaN,1,-0.02688514154,0.5079628099,0.9983351147,1.030490396,FAIL
1,96,0.59,1,0.503622825,22.15853478,0.2905520637,22.15853478,4.008154789,22.43000075,0.6774599274,0.06800649937,0.747651509,0.1042812981,0.747651509,0.657007064,1.472025044,1,-1,NaN,0.9999999522,0.8825397299,0.9485939983,0.9998357687,1.030490396,FAIL
1,128,0.59,1,0.6140888706,28.64613963,0.2969307474,28.64613963,4.260827927,28.91826082,0.6774674411,0.07677162642,0.7952974687,0.1079125059,0.7952974687,0.6639200836,1.566141254,1,-1,NaN,NaN,NaN,NaN,NaN,1.030490396,FAIL
1,32,0.8,1,0.1117978138,3.702333371,0.1166577416,3.702333371,2.971012587,3.831614599,0.6771225633,0.02207357049,0.2667623666,0.03918038783,0.2667623666,0.6112486454,0.5257574703,1,-1,NaN,1,-2.829197832,-5.142291499,0.9881108642,0.8615218906,FAIL
1,64,0.8,1,0.1909241549,7.387630286,0.1353480158,7.387630286,3.63595724,7.519495164,0.6774290696,0.03124129949,0.3302535315,0.04759934266,0.3302535315,0.6446483404,0.6502665138,1,-1,NaN,1,-0.2384696045,0.5079628099,0.9983351147,0.8615218906,FAIL
1,96,0.8,1,0.2569356043,10.80904136,0.141732714,10.80904136,4.008154789,10.94146378,0.6774599274,0.03832038309,0.3647080532,0.05086892591,0.3647080532,0.657007064,0.718060997,1,-1,NaN,0.9999999522,0.8337037963,0.9485939983,0.9998357687,0.8615218906,FAIL
1,128,0.8,1,0.3123325393,13.97372665,0.144844267,13.97372665,4.260827927,14.10646869,0.6774674411,0.04420953531,0.3879499847,0.05264024677,0.3879499847,0.6639200836,0.7639713432,1,-1,NaN,NaN,NaN,NaN,NaN,0.8615218906,FAIL
1,32,0.9,1,0.05700425037,1.851166685,0.05832887081,1.851166685,2.971012587,1.9158073,0.6771225633,0.01144433897,0.1333811833,0.01959019391,0.1333811833,0.6112486454,0.2628787351,1,-1,NaN,1,-3.77205962,-5.142291499,0.9881108642,0.5464252287,FAIL
1,64,0.9,1,0.09441856536,3.693815143,0.06767400792,3.693815143,3.63595724,3.759747582,0.6774290696,0.01506765071,0.1651267658,0.02379967133,0.1651267658,0.6446483404,0.3251332569,1,-1,NaN,1,-3.169659092,0.5079628099,0.9983351147,0.5464252287,FAIL
1,96,0.9,1,0.1290269999,5.404520679,0.070866357,5.404520679,4.008154789,5.470731891,0.6774599274,0.01943973668,0.1823540266,0.02543446296,0.1823540266,0.657007064,0.3590304985,1,-1,NaN,0.9999999522,0.4915153432,0.9485939983,0.9998357687,0.5464252287,FAIL
1,128,0.9,1,0.1591456354,6.986863323,0.07242213351,6.986863323,4.260827927,7.053234345,0.6774674411,0.02374132058,0.1939749924,0.02632012339,0.1939749924,0.6639200836,0.3819856716,1,-1,NaN,NaN,NaN,NaN,NaN,0.5464252287,FAIL
