x,y,C
81,1,6.035186695701003e-10
82,1,7.135334164500555e-10
83,1,8.4461731629767e-10
84,1,9.988894499378685e-10
85,1,1.1784482053445385e-9
86,1,1.3855874021040035e-9
87,1,1.6208740664549694e-9
88,1,1.8617345362438046e-9
89,1,2.8175904500249467e-9
90,1,4.220251721971697e-9
91,1,6.16156052899938e-9
92,1,8.469869214202202e-9
93,1,1.0984252614643941e-8
94,1,1.3509517451260255e-8
95,1,1.607606868845688e-8
96,1,1.8683660326386482e-8
97,1,2.1337555807741765e-8
98,1,2.418234722663477e-8
99,1,2.726640416622455e-8
100,1,3.0538019530658486e-8
101,1,3.397632359327377e-8
102,1,3.75459271542582e-8
103,1,4.121436902350297e-8
104,1,4.502610366741073e-8
105,1,4.90277712416034e-8
106,1,5.322114824241916e-8
107,1,5.7627939564460945e-8
108,1,6.232233273450435e-8
109,1,6.73680597065888e-8
110,1,7.223139213996503e-8
111,1,7.701960976299978e-8
112,1,8.198038556740621e-8
113,1,8.734580258914435e-8
114,1,9.223372229031499e-8
115,1,9.660755082268543e-8
116,1,1.0087577396335627e-7
117,1,1.0552813053572683e-7
118,1,1.1188306591195456e-7
119,1,1.2008844263758764e-7
120,1,1.2930582428757306e-7
121,1,1.3858250897291703e-7
122,1,1.472404815545908e-7
123,1,1.5503663939191762e-7
124,1,1.5660476921499435e-7
125,1,1.5589874181620918e-7
126,1,1.5251059212984553e-7
127,1,1.4149376332940272e-7
128,1,8.717898313158554e-8
1,2,4.0845646585855844e-8
2,2,6.207672589398031e-9
3,2,1.329591992550533e-10
4,2,8.81518049148527e-12
5,2,4.063888244502449e-12
6,2,3.894487156213247e-12
7,2,3.898234102079187e-12
8,2,3.9124998066936784e-12
9,2,3.926673515610464e-12
10,2,3.953456167257339e-12
11,2,3.994086091395918e-12
12,2,4.033782181712486e-12
13,2,4.071346765845636e-12
14,2,4.1362081817209386e-12
15,2,4.2787819249464966e-12
16,2,4.591296006670775e-12
17,2,5.089008182947251e-12
18,2,5.7371378391056265e-12
19,2,6.480709111210629e-12
20,2,7.30708966238678e-12
21,2,8.237874310357071e-12
22,2,9.260804812874417e-12
23,2,1.036374254685705e-11
24,2,1.1540958666873073e-11
25,2,1.2784788864003205e-11
26,2,1.408944431395724e-11
27,2,1.545335984674568e-11
28,2,1.687648517001141e-11
29,2,1.8359940243799122e-11
30,2,1.9906421708870373e-11
31,2,2.1519836498783682e-11
32,2,2.3204114594501583e-11
33,2,2.496284362540174e-11
34,2,2.6799934496930266e-11
35,2,2.8718984066586017e-11
36,2,3.072182288350716e-11
37,2,3.280851926771725e-11
38,2,3.4977909067914384e-11
39,2,3.722766142300889e-11
40,2,3.9553440989869627e-11
41,2,4.1949103733378176e-11
42,2,4.440872410077204e-11
43,2,4.692852039991967e-11
44,2,4.950477023634452e-11
45,2,5.213655633870326e-11
46,2,5.482080215634561e-11
47,2,5.754863580255694e-11
48,2,6.02998877533599e-11
49,2,6.303445967518427e-11
50,2,6.581307363929719e-11
51,2,6.876455609465924e-11
52,2,7.192632413659729e-11
53,2,7.531313335704177e-11
54,2,7.893078623813432e-11
55,2,8.278262803004418e-11
56,2,8.687272582026935e-11
57,2,9.120713069182402e-11
58,2,9.579375497395773e-11
59,2,1.0064354329266831e-10
60,2,1.0577409652287755e-10
61,2,1.1121385597852427e-10
62,2,1.1701270612527874e-10
63,2,1.2321154058328697e-10
64,2,1.2985757868781318e-10
65,2,1.3694479354980916e-10
66,2,1.4445093466033527e-10
67,2,1.5239825376875496e-10
68,2,1.6070864626472482e-10
69,2,1.691904457485336e-10
70,2,1.776769731200613e-10
71,2,1.8613198654698306e-10
72,2,1.9450246983110677e-10
73,2,2.0271279766443598e-10
74,2,2.1068899231564032e-10
75,2,2.1836865061775172e-10
76,2,2.256474762097381e-10
77,2,2.2921580685019648e-10
78,2,2.3028266944853847e-10
79,2,2.318150202722211e-10
80,2,2.3497300351996586e-10
81,2,2.3752112364143284e-10
82,2,2.3753836192665763e-10
83,2,2.338094700078395e-10
84,2,2.259250251753233e-10
85,2,2.1653586815982303e-10
86,2,2.0462155398369267e-10
87,2,1.900779165624405e-10
88,2,1.728963044800037e-10
89,2,1.526639823453051e-10
90,2,1.2869634722949172e-10
91,2,1.0065573143151794e-10
92,2,6.922656953041723e-11
93,2,3.578389692360223e-11
94,2,1.5912205196135183e-11
95,2,1.4408083979263557e-11
96,2,1.5161940769143505e-11
97,2,1.8498644366650356e-11
98,2,2.4363197609597222e-11
99,2,3.123759778836791e-11
100,2,3.9462813034830935e-11
101,2,4.944322701609449e-11
102,2,6.156572285678963e-11
103,2,7.620195071707397e-11
104,2,9.390828906520103e-11
105,2,1.1537600345695894e-10
106,2,1.4121124062901496e-10
107,2,1.721821467979796e-10
108,2,2.110832289645219e-10
109,2,2.7796008879784257e-10
110,2,7.489804194254614e-10
111,2,1.7177046600748806e-9
112,2,3.1029508984712675e-9
113,2,4.805279148853092e-9
